id,word,definition
0,endeavor,"""to make an effort, to try very hard"""
1,stray,wander lose one's way
2,renovate,restore something to better condition
3,curriculum,course of study
4,amalgamate,mix; combine; unite societies
5,drowsiness,feeling sleepy half asleep
6,disrobe,undress
7,xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
8,suffocate,cause or have difficulty in breathing
9,sequence,succession connected line of
10,scent,smell (especially pleasant)
11,sporadic,happening from time to time
12,affinity,close connection; relationship
13,audacious,Bold
14,heterogeneous,made up of different kinds
15,animosity,strong dislike
16,fragile,easily injured broken or destroyed
17,acumen,"""Keen, quick, accurate insight or judgment"""
18,legacy,Bequest or inheritance
19,massacre,cruel killing of a large number of people
20,submerge,put under water liquid sink out of sight
21,combustion,process of burning
22,adulteration,making unpure; poorer in quality
23,appease,make quiet or calm
24,premature,doing or happening something before the right time
25,inquest,"""Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"""
26,shunned,"""avoided, kept away from"""
27,conceal,hide keep secret
28,anguish,severe suffering
29,indigenous,native
30,apt,well-suited; quick-witted
31,correlate,have a mutual relation
32,grumble,to complain
33,offhand,Without preparation or forethought
34,somersault,rolling backward or forward (not sideways) movement
35,extinguish,end the existence of/wipe or put out
36,edible,fit to be eaten/not poisonous
37,conjoin,to join together
38,surcharge,additional load/charge
39,accolade,praise; approval
40,disallow,refuse to allow or accept as a correct
41,opaqueness,dullness/not allowing light to pass through
42,impermeable,that cannot be permeated
43,console,give comfort or sympathy to
44,timid,shy easily frightened
45,abscond,to go away suddenly (to avoid arrest)
46,abide,be faithful; to endure
47,embezzle,use in a wrong way for one's own benefit
48,warrant,authority written order guarantee
49,reminiscent,suggest something in the past
50,extinct,no longer active
51,loll,rest to sit or stand in a lazy way hang (dog's tongue)
52,acclaimed,welcomed with shouts and approval
53,clientele,customers
54,catalyst,substance that causes speeding up
55,shallow,little depth; not earnest
56,brittle,easily broken
57,negligent,taking too little care
58,affable,polite and friendly
59,poseur,a person who attempts to impress by acting unlike himself
60,dangle,hand or swing loosely
61,moribund,in a dying state; near death
62,ascend,go or come up
63,relapse,fall back again
64,asterisk,the mark * (e.g.. omitted letters)
65,yarn,tale story fibers for knitting
66,arrogance,proud; superior manner of behaviour
67,salvage,the saving of property from loss
68,livid,"""Furiously angry, enraged"""
69,divergence,getting farther apart from a point
70,rejuvenation,becoming young in nature or appearance
71,allegiance,duty support loyalty
72,vigorous,strong energetic
73,dullard,"""a stupid, insensitive person"""
74,dwarf,person much smaller the usual size
75,fragrant,sweet-smelling
76,judicious,sound in judgment; wise
77,nihilism,total rejection of all religious and moral beliefs
78,odor,smell
79,scribble,write hastily
80,hospitable,liking to give hospitality
81,narcissism,Self-love
82,sawdust,tiny bits of wood
83,ameliorate,improve; make better
84,ingest,take in by swallowing
85,gait,"""a manner of walking, stepping, or running"""
86,sluggard,lazy slow-moving person
87,succumb,"""yield, die"""
88,reiterate,say or do again several times
89,flop,fail/move/fall clumsily
90,defer,postpone
91,ossified,turned to bone; hardened like bone; Inflexible
92,eloquence,fluent speaking skillful use of language
93,derivative,unoriginal; obtained from another source
94,commuter,person who travels regularly
95,clot,half-solid lump formed from liquid
96,weigh,measure hoe heavy something is
97,steeply,rising or falling sharply
98,torque,twisting force causing rotation
99,benefactor,person who has given help
100,complaisant,trying to please; obliging
101,plea,request
102,moderation,quality of being limited; not extreme
103,enduring,lasting
104,invincible,too strong to be defeated
105,sanity,health of mind soundness of judgment
106,turmoil,trouble disturbance
107,flimsy,"""lacking solidarity, strength"""
108,tadpole,form of a frog when it leaves the egg
109,reconcile,settle a quarrel restore peace
110,cryptic,secret with a hidden meaning
111,sponge,porous rubber for washing live at once expense
112,commemorate,keep the memory of
113,sadistic,Cruel
114,dote,show much fondness center one's attention
115,encapsulate,enclose in capsule
116,fission,splitting or division (esp. of cells)
117,volatile,changeable inconstant fickle unstable explosive
118,alloy,to debase by mixing with something inferior
119,dormant,in a state of inactivity but awaiting development
120,gallant,"""brave,behaves well with women"""
121,grievous,causing grief or pain; serious dire grave
122,enzyme,catalyst
123,shard,A piece of broken pottery
124,hypocrisy,falsely making oneself appear to be good
125,eradicate,get rid of pull up by the roots
126,chisel,steel tool for shaping materials
127,infuriate,fill with fury or rage
128,engulf,swallow up
129,euphoria,elation state of pleasant excitement
130,sanction,approval (by authority) penalty
131,renowned,celebrated; famous
132,riddle,puzzling person or thing
133,evoke,call up bring out
134,mischievous,harmful; causing mischief
135,implicit,implied though; not plainly expressed
136,disproof,proof to the contrary
137,misogynist,one who hates women/females
138,abysmal,extreme bad
139,writ,written order
140,pertain,belong as a part have reference
141,erratic,irregular in behaviour or opinion
142,meticulous,giving great attention to details
143,impromptu,without preparation
144,inclined,directing the mind in a certain direction
145,constrict,make tight or smaller
146,perish,be destroyed decay
147,Lambaste,attack verbally
148,luminary,star; light-giving body
149,dupe,cheat make a fool of
150,auxiliary,helping; supporting
151,extralegal,outside the law
152,ambivalent,having both of two contrary meanings
153,tonic,something giving strength or energy
154,endorse,write one's name on the back of
155,turbulence,being uncontrollably violent
156,connoisseur,a person with good judgement (e.g.. in art)
157,indistinct,not easily heard; seen clearly marked
158,abstruse,difficult to comprehend; obscure
159,limp,lacking strength; walking unevenly
160,parenthesis,sentence within another one something separated
161,sophisticated,complex; subtle; refined
162,aberration,straying away from what is normal
163,recuperate,become strong after illness loss exhaustion
164,perjury,willful FALSE statement unlawful act
165,mite,"""A very small amount, portion, or particle"""
166,pest,destructive thing or a person who is nuisance
167,pluck,pull the feathers off pick (e.g.. flowers)
168,satiate,satisfy fully
169,colloquial,involving or using conversation.
170,yeoman,man owning small estate; middle-class farmer
171,ail,"""to cause pain, uneasiness, or trouble to."""
172,fidelity,loyalty accuracy
173,mesmerize,hypnotize
174,paradigm,a model example or pattern
175,gullible,easily gulled
176,sobriety,quality or condition of being sober
177,dislodge,move force from the place occupied
178,fleet,number of ships; quick-moving
179,articulate,speak distinctly; connect by joints
180,tractable,easily controlled or guided
181,partisan,one-sided committed to a party biased or prejudiced
182,predominate,have more power than others
183,foolproof,incapable of failure or error
184,suffice,be enough
185,permeate,spread into every part of
186,spear,weapon with a metal point on a long shaft
187,solvent,of the power of forming a solution
188,presentiment,anticipatory fear; premonition
189,vivacious,lively high-spirited
190,coagulation,change to a thick and solid state
191,liberality,free giving; generosity
192,elaborate,worked out with much care in great detail
193,brass,yellow metal (mixing copper and zinc)
194,malleable,yielding easily shaped; moldable; adapting
195,patron,regular customer person who gives support
196,immutable,that cannot be changed
197,forgery,counterfeit
198,woo,try to win
199,cordial,warm and sincere
200,cumbersome,burdensome; heavy and awkward to carry
201,beguile,mislead or delude; cheat; pass time
202,retrograde,receding
203,sheath,cover for the blade of a weapon or a tool
204,bewilder,puzzle; confuse
205,knit,draw together; unite firmly
206,unscathed,unharmed unhurt
207,chortle,loud chuckle of pleasure or amusement
208,jabber,talk excitedly; utter rapidly
209,pivotal,of great importance (others depend on it)
210,implosion,collapse; bursting inward
211,repel,refuse to accept/cause dislike
212,superimpose,put something on the top
213,centurion,leader of a unit of 100 soldiers
214,enigma,something that is puzzling
215,calipers,metal supports attached to the legs measuring instrument
216,redeem,get back by payment compensate
217,buoyant,able to float; light-hearted
